t;fuego;arboles;vacios
1;10069;16354;39113
2;7805;3899;53832
3;1240;8026;56270
4;465;13138;51933
5;269;18144;47123
6;183;22646;42707
7;170;26739;38627
8;164;30430;34942
9;169;33614;31753
10;174;36619;28743
11;204;39220;26112
12;272;41584;23680
13;324;43727;21485
14;405;45472;19659
15;483;46956;18097
16;629;48098;16809
17;793;48990;15753
18;968;49579;14989
19;1120;49969;14447
20;1334;50093;14109
21;1571;49928;14037
22;1826;49499;14211
23;2101;48824;14611
24;2328;48017;15191
25;2475;47086;15975
26;2611;46079;16846
27;2752;44984;17800
28;2820;43913;18803
29;2904;42880;19752
30;3019;41825;20692
31;2998;40900;21638
32;3083;39932;22521
33;3080;39126;23330
34;3116;38337;24083
35;3129;37626;24781
36;3206;36918;25412
37;3226;36241;26069
38;3272;35541;26723
39;3243;34912;27381
40;3255;34357;27924
41;3206;33952;28378
42;3218;33646;28672
43;3283;33210;29043
44;3333;32820;29383
45;3319;32357;29860
46;3344;31969;30223
47;3377;31612;30547
48;3309;31353;30874
49;3262;31126;31148
50;3304;30901;31331
51;3359;30729;31448
52;3377;30512;31647
53;3330;30328;31878
54;3387;30039;32110
55;3364;29854;32318
56;3360;29748;32428
57;3360;29696;32480
58;3331;29484;32721
59;3400;29352;32784
60;3370;29234;32932
61;3374;29098;33064
62;3374;28965;33197
63;3397;28867;33272
64;3403;28933;33200
65;3398;28835;33303
66;3396;28799;33341
67;3403;28707;33426
68;3471;28616;33449
69;3520;28418;33598
70;3592;28181;33763
71;3671;27913;33952
72;3694;27620;34222
73;3630;27434;34472
74;3543;27371;34622
75;3532;27390;34614
76;3558;27323;34655
77;3517;27267;34752
78;3532;27219;34785
79;3610;27206;34720
80;3589;27133;34814
81;3706;26835;34995
82;3632;26674;35230
83;3558;26714;35264
84;3530;26716;35290
85;3379;26822;35335
86;3384;26956;35196
87;3357;27108;35071
88;3334;27365;34837
89;3386;27356;34794
90;3389;27363;34784
91;3499;27462;34575
92;3579;27338;34619
93;3641;27195;34700
94;3588;27245;34703
95;3537;27196;34803
96;3569;27006;34961
97;3637;26864;35035
98;3661;26721;35154
99;3600;26657;35279
100;3551;26700;35285
